course,discounted_price,original_price,category,summary,difficulty,total_materials,course_link
Retail Industry Bookkeeping with Jurnal Software,$49.00,$500.00,Software Mekari,"Pahami Jurnal, software akuntansi berbasis cloud untuk pembukuan dan proses akuntansi bisnis retail yang efektif dan hemat waktu",Basic,27 Materi Pembelajaran,https://univ.mekari.com/courses/retail-industry-bookeeping-with-jurnal
Basic Concept of Risk Management,Gratis,$350.00,Bisnis & Wirausaha,Pelajari secara lengkap tahapan dan penerapan manajemen risiko untuk melindungi perusahaan Anda ,Basic,21 Materi Pembelajaran,https://univ.mekari.com/courses/risk-management
Payroll Management with Talenta Software,$49.00,$500.00,Software Mekari,"Pahami pengelolaan sistem payroll yang lebih mudah, cepat, dan akurat menggunakan Talenta, mulai dari perhitungan hingga transfer gaji",Basic,19 Materi Pembelajaran,https://univ.mekari.com/courses/payroll-management-with-talenta-software
Employee Database Management with Talenta Software,$49.00,$500.00,Software Mekari,Kelola database karyawan lebih praktis dan akurat di Talenta untuk menunjang aktivitas pengelolaan sumber daya manusia di perusahaan,Basic,15 Materi Pembelajaran,https://univ.mekari.com/courses/employee-database-management-with-talenta-software
Business Presentation Skill,$49.00,$500.00,Bisnis & Wirausaha,Pahami berbagai aspek penting presentasi bisnis melalui simulasi untuk menjadi presenter yang berkesan bagi audiens Anda,Basic,20 Materi Pembelajaran,https://univ.mekari.com/courses/business-presentation-skill
"Qontak, Complete CRM Solution for Sales and Customer Management",$49.00,$500.00,Software Mekari,"Pelajari Qontak, Software CRM untuk tingkatkan hubungan bisnis dengan para Customer Anda",Basic,58 Materi Pembelajaran,https://univ.mekari.com/courses/qontak-complete-crm-solution-for-sales-and-customer-management
Basic Concept of Corporate Branding,Gratis,$350.00,Bisnis & Wirausaha,Ciptakan identitas perusahaan yang kuat melalui konsep dan studi kasus dalam membangun strategi branding perusahaan,Basic,20 Materi Pembelajaran,https://univ.mekari.com/courses/basic-concept-of-corporate-branding
Business Negotiation,$59.00,$350.00,Bisnis & Wirausaha,"Capai kesepakatan bisnis terbaik melalui konsep, teknik,  strategi  serta praktik negosiasi bisnis yang efektif",Basic,21 Materi Pembelajaran,https://univ.mekari.com/courses/business-negotiation
Leadership: First Time Manager,Gratis,$500.00,Intermediate,Pelajari perilaku seorang pemimpin ketika Anda menjadi first time manager serta penerapannya di lapangan,Pajak & Regulasi,19 Materi Pembelajaran,https://univ.mekari.com/courses/leadership-first-time-manager
Perpajakan Daerah,Gratis,$500.00,Pajak & Regulasi,"Pahami berbagai jenis pajak daerah serta tata cara perhitungan, pembayaran hingga pelaporan secara menyeluruh",Basic,18 Materi Pembelajaran,https://univ.mekari.com/courses/perpajakan-daerah
Perencanaan Pajak: Konsep dan Praktik Efisiensi Pajak Perusahaan,Gratis,"$1,500.00",Pajak & Regulasi,Pelajari teknik dan strategi perencanaan pajak yang tepat untuk efisiensi biaya pada perusahaan Anda,Intermediate,69 Materi Pembelajaran,https://univ.mekari.com/courses/perencanaan-pajak-konsep-dan-praktik-efisiensi-pajak-perusahaan
Analisis Laporan Keuangan: Konsep dan Best Practice,Gratis,$500.00,Akuntansi & Keuangan,Pahami kinerja perusahaan melalui berbagai aspek dan teknik analisis laporan keuangan serta penerapannya secara tepat,Intermediate,21 Materi Pembelajaran,https://univ.mekari.com/courses/analisis-laporan-keuangan
